,0a) Mitglied im DVE,1a) Alter,1b) Berufserfahrung,1c) Geschlecht,1d) Arbeitsort,1e) Höchster Berufsabschluss,2a) Status Hauptarbeitsverhältnis,2b) Grund für Teilzeit- oder geringfügige Beschäftigung,2c) Beschäftigung in einer Zeitarbeitsfirma/ als Leiharbeitnehmer:in,3a) Befristetes Arbeitsverhältnis,"4a) Leitungsfunktion, mit Personalverantwortung",4b) Verantwortung für,4c) Umfang der Leitungstätigkeit durch Arbeitgeber,5a) Arbeitgeber/ Einrichtungsart,5b) Fachlicher Schwerpunkt,6a) Meine vertraglich festgelegte Wochenarbeitszeit beträgt,6b) Ich arbeite auch am...,6c) Wenn Sie Sonn- und Feiertagsdienste machen – gibt es Zuschläge bei der Vergütung?,7a) Wie erfolgt der Ausgleich von Überstunden?,7b) Leisten Sie regelmäßig Überstunden?,8a) Ich habe in den letzten 12 Monaten mindestens eine externe berufsbezogene Fortbildung wahrgenommen (inkl. Onlineangeboten),8b) Freistellung,8c) Kostenübernahme durch den Arbeitgeber,8d) regelmäßige Teilnahme an externer/ extern begleiteter Supervision (vom Arbeitgeber finanziert),9a) Gehaltsform,9b) Tarif,9c) Höhe des monatlichen Gesamtbruttogehalts* (beim Hauptarbeitgeber),10. Risiko des Therapieausfalles:Risiko trägt AG,10. Risiko des Therapieausfalles:Risiko trägt AN,10a) Risiko des Therapieausfalles,11a) Die Dauer einer Therapieeinheit orientiert sich an,"11b) Wieviel Zeit Ihrer Arbeitszeit (Angaben in %) steht Ihnen für Aufgaben wie Teambesprechungen, Dokumentation, Fahrzeit zu Hausbesuchen, Telefonate, Aufräumarbeiten, Vor-/Nachbereitung der Therapie, Praktikumsanleitung, etc. in etwa zur Verfügung?",12a) Nicht als Arbeitszeit gerechnete und nicht vergütete Arbeitsleistungen am Arbeitsplatz,12b) Der Umfang dieser nicht vergüteten Leistungen beträgt etwa (in Wochenstunden),13a) Ich arbeite zusätzlich zu meinem Hauptarbeitsverhältnis,13b) Intention der Nebentätigkeit,14a) An meiner Arbeitsstelle gibt es eine Interessensvertretung,14b) Ich bin Mitglied in einer Gewerkschaft,"15a) größere strukturelle Veränderungen, wie beispielsweise Eigentümerwechsel, Konzernbildung, usw.",15b 2)Stehen die angegebenen „wesentlichen Veränderungen“ überwiegend im Zusammenhang mit der Corona-Pandemie?,15b) Wesentliche Verschlechterungen der Arbeitsbedingungen in den letzten 2 Jahren,15c 2)Stehen die angegebene „wesentlichen Verbesserungen“ überwiegend im Zusammenhang mit der Corona-Pandemie?,15c) Wesentliche Verbesserungen der Arbeitsbedingungen in den letzten 2 Jahren,18a) Welche Serviceleistungen des DVE für Angestellte sind Ihnen bekannt?,18b) Welche Serviceleistungen des DVE für Angestellte haben Sie im letzten Jahren genutzt?,Anzahl aller wahrgenommen Fortbildungstage in den letzten 12 Monaten,Anzahl der Freistellungstage,Minuten bei Einzeltherapie,Minuten bei Gruppentherapie,Wie beurteilen Sie das Betriebsklima in Ihrer Einrichtung insgesamt? Bewerten Sie auf einer Skala von 1 (nahezu unerträglich) bis 10 (könnte nicht besser sein).,Wie beurteilen Sie die Zusammenarbeit mit Vorgesetzen? Bewerten Sie auf einer Skala von 1 (äußerst schlecht) bis 10 (könnte nicht besser sein).,Wie beurteilen Sie die Zusammenarbeit mit den Kolleg:innen? Bewerten Sie auf einer Skala von 1 (äußerst schlecht) bis 10 (könnte nicht besser sein).,Wie zufrieden sind Sie insgesamt mit Ihrer aktuellen Arbeitssituation? Bewerten Sie auf einer Skala von 1 (sehr unzufrieden) bis 10 (sehr zufrieden).,Wie zufrieden sind Sie mit diesen Leistungen gewesen? Bewerten Sie auf einer Skala von 1 (sehr unzufrieden) bis 10 (sehr zufrieden).,"nicht vertraglich festgelegt (flexibel nach Bedarf), ca.: 1-40 Wochenstunden",vertraglich festgelegt (1-40) Wochenstunden
756,ja,50 - 59 Jahre,über 20 Jahre,divers,Berlin,Bachelor / Diplom,Teilzeit,aus gesundheitlichen Gründen,nein,nein,trifft für mich nicht zu,,,Sonstige Antwort,"[' Geriatrie', ' Neurologie', ' Orthopädie/Traumatologie/Rheumatologie', ' Palliativversorgung']",20,"[' samstags', ' feiertags']",Nein,wahlweise Freizeit/Bezahlung,ja,ja,ja,teilweise,nein,Festgehalt,AVR/KODA/ZKO,"1500,-  –  1749,- €",nein,nein,trifft für mich nicht zu,nach folgenden internen Vorgaben/ Regelungen (bitte Minutenanzahl eingeben),Ich bekommen keine Zeit zur Verfügung gestellt,[' Trifft für mich nicht zu'],,als Ergotherapeut,nein,Mitarbeitervertretung,nein,ja,nein,"[' Arbeitsverdichtung', ' Ausweitung der Arbeitszeit', ' anderes Patientenklientel']",nein,"[' die Bedingungen in meinem Arbeitsvertrag haben sich verbessert (Arbeitszeitverkürzung, mehr Urlaubstage, …)']","[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage', ' Newsletter des Fachausschuss für Angestellte']","[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage', ' Newsletter des Fachausschuss für Angestellte']",3.0,3.0,30.0,30.0,3,3,5,4,7,,
757,ja,20 - 29 Jahre,7 - 10 Jahre,weiblich,Sachsen-Anhalt,Berufsfachschule,Teilzeit,dies ist aus familiären/persönlichen Gründen,nein,nein,Fachliche Leitung (Praxis),1 - 5 Mitarbeiter,in zur Verfügung gestellte,Praxis/Therapiezentrum,"[' Geriatrie', ' Neurologie', ' Pädiatrie', ' Psychiatrie/Sucht/Forensik']",30,[' trifft nicht zu'],,wahlweise Freizeit/Bezahlung,ja,ja,ja,ja,nein,Festgehalt,"nein, frei verhandelt","2000,-  –  2249,- €",ja,nein,,der Heilmittel-Richtlinie,20 %,[' Trifft für mich nicht zu'],,"trifft für mich nicht zu, keine Nebentätigkeit",,nein,nein,nein,nein,[' keine Veränderungen'],nein,[' mehr Personal'],"[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage', ' Broschüre Arbeitsrecht', ' Broschüre Stellenbeschreibung', ' Individuelle Beratung per Mail/Telefon durch die Geschäftsstelle', ' Individuelle Beratung per Mail/Telefon durch den Fachausschuss für Angestellte']",[' Newsletter des Fachausschuss für Angestellte'],5.0,5.0,,,10,10,10,10,9,2.0,
758,ja,20 - 29 Jahre,bis 2 Jahre,weiblich,Sachsen,Berufsfachschule,Teilzeit,dies ist aus familiären/persönlichen Gründen,nein,nein,trifft für mich nicht zu,,,Praxis/Therapiezentrum,"[' Orthopädie/Traumatologie/Rheumatologie', ' Pädiatrie']",30,[' trifft nicht zu'],,wahlweise Freizeit/Bezahlung,nein,ja,ja,ja,nein,Festgehalt,"nein, frei verhandelt","2000,-  –  2249,- €",nein,ja,,der Heilmittel-Richtlinie,10 %,"[' Praktikumsanleitung', ' Telefonate/Gespräche mit Angehörigen/anderen Fachpersonen etc.', ' Aufräum-/Reinigungsarbeiten']",2.0,"trifft für mich nicht zu, keine Nebentätigkeit",,nein,nein,nein,nein,[' keine Veränderungen'],nein,[' trifft für mich nicht zu / keine Veränderungen'],"[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage', ' Broschüre Arbeitsrecht']","[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage', ' Broschüre Arbeitsrecht']",12.0,12.0,,,7,7,8,7,9,,
759,ja,30 - 39 Jahre,11 - 20 Jahre,weiblich,Brandenburg,Berufsfachschule,Teilzeit,dies ist aus familiären/persönlichen Gründen,nein,nein,Fachliche Leitung (Praxis),1 - 5 Mitarbeiter,in zur Verfügung gestellte,Praxis/Therapiezentrum,"[' Neurologie', ' Orthopädie/Traumatologie/Rheumatologie', ' Pädiatrie', ' Psychiatrie/Sucht/Forensik']",30,[' trifft nicht zu'],,Ausgleich über Freizeit,ja,ja,nein,teilweise,nein,Festgehalt,"nein, frei verhandelt","2000,-  –  2249,- €",ja,nein,,der Heilmittel-Richtlinie,Ich bekommen keine Zeit zur Verfügung gestellt,[' Trifft für mich nicht zu'],,"trifft für mich nicht zu, keine Nebentätigkeit",,nein,nein,ja,nein,[' keine Veränderungen'],nein,[' trifft für mich nicht zu / keine Veränderungen'],[' Newsletter des Fachausschuss für Angestellte'],[' Newsletter des Fachausschuss für Angestellte'],10.0,,,,2,1,7,2,5,,
760,ja,40 - 49 Jahre,über 20 Jahre,weiblich,Baden-Württemberg,Bachelor / Diplom,Vollzeit,,nein,nein,trifft für mich nicht zu,,,Reha-Klinik,"[' Geriatrie', ' Neurologie']",39,[' trifft nicht zu'],,Ausgleich über Freizeit,ja,nein,,,nein,Festgehalt,AVR/KODA/ZKO,"3250,-  –  3499,- €",ja,nein,,nach folgenden internen Vorgaben/ Regelungen (bitte Minutenanzahl eingeben),25 %,[' Trifft für mich nicht zu'],,"trifft für mich nicht zu, keine Nebentätigkeit",,Mitarbeitervertretung,nein,nein,ja,"[' Arbeitsverdichtung', ' weniger Unterstützung für Fortbildung (finanziell, dienstfrei)', ' berufsfremde Tätigkeiten', ' Sonstige']",nein,[' trifft für mich nicht zu / keine Veränderungen'],"[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage', ' Broschüre Arbeitsrecht', ' Individuelle Beratung per Mail/Telefon durch die Geschäftsstelle', ' Individuelle Beratung per Mail/Telefon durch den Fachausschuss für Angestellte', ' telefonische Sprechstunde zur Arbeitsrechtsberatung durch Rechtsanwälte (dienstags 16:30-18:30 Uhr)', ' Newsletter des Fachausschuss für Angestellte']","[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage', ' Newsletter des Fachausschuss für Angestellte']",,,30.0,30.0,7,8,10,7,9,,
761,ja,30 - 39 Jahre,3 - 6 Jahre,weiblich,Baden-Württemberg,Berufsfachschule,Teilzeit,dies ist aus familiären/persönlichen Gründen,nein,nein,trifft für mich nicht zu,,,Praxis/Therapiezentrum,"[' Geriatrie', ' Neurologie', ' Orthopädie/Traumatologie/Rheumatologie', ' Pädiatrie', ' Prävention und GSF']",30,[' trifft nicht zu'],,wahlweise Freizeit/Bezahlung,ja,ja,ja,ja,nein,Festgehalt,"nein, frei verhandelt","2500,-  –  2749,- €",ja,nein,,der Heilmittel-Richtlinie,10 %,[' Trifft für mich nicht zu'],,"trifft für mich nicht zu, keine Nebentätigkeit",,nein,nein,nein,ja,[' keine Veränderungen'],nein,"[' die Bedingungen in meinem Arbeitsvertrag haben sich verbessert (Arbeitszeitverkürzung, mehr Urlaubstage, …)']","[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage', ' Broschüre Arbeitsrecht', ' Broschüre Stellenbeschreibung', ' Individuelle Beratung per Mail/Telefon durch die Geschäftsstelle', ' Individuelle Beratung per Mail/Telefon durch den Fachausschuss für Angestellte', ' telefonische Sprechstunde zur Arbeitsrechtsberatung durch Rechtsanwälte (dienstags 16:30-18:30 Uhr)', ' Newsletter des Fachausschuss für Angestellte']","[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage', ' Newsletter des Fachausschuss für Angestellte']",7.0,5.0,,,10,10,10,10,10,,
762,ja,40 - 49 Jahre,11 - 20 Jahre,weiblich,Hessen,Bachelor / Diplom,Vollzeit,,nein,nein,Abteilungs-/ Teamleitung (Institution),1 - 5 Mitarbeiter,in zur Verfügung gestellte,Sonstige Antwort,[' Orthopädie/Traumatologie/Rheumatologie'],40,[' samstags'],Nein,wahlweise Freizeit/Bezahlung,nein,ja,ja,ja,nein,Festgehalt,angelehnt an einen Tarif,"3250,-  –  3499,- €",ja,nein,,der Heilmittel-Richtlinie,10 %,[' Trifft für mich nicht zu'],,"trifft für mich nicht zu, keine Nebentätigkeit",,Betriebsrat,nein,nein,nein,[' keine Veränderungen'],nein,[' trifft für mich nicht zu / keine Veränderungen'],"[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage', ' Broschüre Arbeitsrecht', ' Broschüre Stellenbeschreibung', ' Individuelle Beratung per Mail/Telefon durch die Geschäftsstelle', ' Individuelle Beratung per Mail/Telefon durch den Fachausschuss für Angestellte', ' telefonische Sprechstunde zur Arbeitsrechtsberatung durch Rechtsanwälte (dienstags 16:30-18:30 Uhr)', ' Newsletter des Fachausschuss für Angestellte']",[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage'],3.0,5.0,,,8,8,9,8,9,3.0,
763,ja,30 - 39 Jahre,11 - 20 Jahre,weiblich,Rheinland-Pfalz,Berufsfachschule,Vollzeit,,nein,nein,trifft für mich nicht zu,,,Praxis/Therapiezentrum,"[' Geriatrie', ' Neurologie', ' Orthopädie/Traumatologie/Rheumatologie', ' Pädiatrie']",36,[' trifft nicht zu'],,Ausgleich über Freizeit,ja,ja,nein,teilweise,nein,Festgehalt,angelehnt an einen Tarif,"3000,-  –  3249,- €",nein,ja,,der Heilmittel-Richtlinie,20 %,[' Trifft für mich nicht zu'],,"trifft für mich nicht zu, keine Nebentätigkeit",,nein,nein,nein,nein,[' keine Veränderungen'],nein,[' trifft für mich nicht zu / keine Veränderungen'],"[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage', ' telefonische Sprechstunde zur Arbeitsrechtsberatung durch Rechtsanwälte (dienstags 16:30-18:30 Uhr)', ' Newsletter des Fachausschuss für Angestellte']","[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage', ' Newsletter des Fachausschuss für Angestellte']",2.0,,,,10,10,10,7,6,,
764,ja,50 - 59 Jahre,über 20 Jahre,weiblich,Nordrhein-Westfalen,Bachelor / Diplom,Teilzeit,dies ist aus familiären/persönlichen Gründen,nein,nein,trifft für mich nicht zu,,,(Akut-)Krankenhaus,[' Geriatrie'],31,[' feiertags'],Nein,Ausgleich über Freizeit,nein,ja,ja,nein,nein,Festgehalt,TVöD,"3250,-  –  3499,- €",nein,nein,trifft für mich nicht zu,nach folgenden internen Vorgaben/ Regelungen (bitte Minutenanzahl eingeben),30 %,[' Trifft für mich nicht zu'],,als Ergotherapeut,nein,Betriebsrat,nein,nein,nein,[' Arbeitsverdichtung'],nein,[' trifft für mich nicht zu / keine Veränderungen'],"[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage', ' Broschüre Arbeitsrecht', ' Broschüre Stellenbeschreibung', ' Individuelle Beratung per Mail/Telefon durch die Geschäftsstelle', ' telefonische Sprechstunde zur Arbeitsrechtsberatung durch Rechtsanwälte (dienstags 16:30-18:30 Uhr)', ' Newsletter des Fachausschuss für Angestellte']",[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage'],8.0,8.0,30.0,60.0,5,4,3,3,5,,
765,ja,40 - 49 Jahre,über 20 Jahre,weiblich,Brandenburg,Berufsfachschule,Teilzeit,dies ist aus familiären/persönlichen Gründen,nein,nein,Fachliche Leitung (Praxis),1 - 5 Mitarbeiter,in zur Verfügung gestellte,Praxis/Therapiezentrum,"[' Geriatrie', ' Neurologie']",33,[' trifft nicht zu'],,Ausgleich über Freizeit,ja,ja,ja,teilweise,nein,Festgehalt,"nein, frei verhandelt","3000,-  –  3249,- €",ja,nein,,der Heilmittel-Richtlinie,5 %,[' Trifft für mich nicht zu'],,"trifft für mich nicht zu, keine Nebentätigkeit",,nein,nein,nein,nein,[' keine Veränderungen'],nein,[' mehr Personal'],"[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage', ' Broschüre Arbeitsrecht', ' Individuelle Beratung per Mail/Telefon durch die Geschäftsstelle', ' telefonische Sprechstunde zur Arbeitsrechtsberatung durch Rechtsanwälte (dienstags 16:30-18:30 Uhr)']","[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage']",4.0,2.0,,,8,8,7,8,9,3.0,
766,ja,30 - 39 Jahre,3 - 6 Jahre,weiblich,Bayern,Bachelor / Diplom,Vollzeit,,nein,nein,Abteilungs-/ Teamleitung (Institution),über 10 Mitarbeiter,in zur Verfügung gestellte,Reha-Klinik,[' Neurologie'],35,"[' samstags', ' feiertags']",JA,Ausgleich über Freizeit,nein,ja,ja,ja,nein,Kombigehalt (Sockelbetrag und variable Leistung),TVöD,"3000,-  –  3249,- €",ja,nein,,nach folgenden internen Vorgaben/ Regelungen (bitte Minutenanzahl eingeben),10 %,[' Trifft für mich nicht zu'],,"trifft für mich nicht zu, keine Nebentätigkeit",,Betriebsrat,nein,ja,nein,"[' Arbeitsverdichtung', ' berufsfremde Tätigkeiten', ' Sonstige']",nein,[' trifft für mich nicht zu / keine Veränderungen'],"[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage', ' Broschüre Stellenbeschreibung', ' Newsletter des Fachausschuss für Angestellte']",[' Broschüre Stellenbeschreibung'],3.0,1.0,30.0,60.0,5,7,9,6,7,4.0,
767,ja,60 plus Jahre,über 20 Jahre,männlich,Baden-Württemberg,Berufsfachschule,Vollzeit,,nein,nein,trifft für mich nicht zu,,,(Akut-)Krankenhaus,[' Neurologie'],38,[' feiertags'],JA,Ausgleich über Freizeit,ja,ja,ja,ja,ja,Festgehalt,Haustarifvertrag,"über 3500,-€",ja,nein,,"keine Vorgaben, individuell frei gestaltbar",25 %,[' Trifft für mich nicht zu'],,als Ergotherapeut,nein,Betriebsrat,"ja, ver.di",nein,nein,"[' Personalabbau', ' Arbeitsverdichtung']",nein,[' trifft für mich nicht zu / keine Veränderungen'],"[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage', ' Broschüre Arbeitsrecht', ' Individuelle Beratung per Mail/Telefon durch die Geschäftsstelle', ' Individuelle Beratung per Mail/Telefon durch den Fachausschuss für Angestellte', ' Newsletter des Fachausschuss für Angestellte']","[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage', ' Individuelle Beratung per Mail/Telefon durch die Geschäftsstelle', ' Newsletter des Fachausschuss für Angestellte']",10.0,10.0,,,6,2,7,3,8,,
768,ja,30 - 39 Jahre,7 - 10 Jahre,weiblich,Nordrhein-Westfalen,Bachelor / Diplom,Vollzeit,,nein,ja,trifft für mich nicht zu,,,Beratungsstelle,"[' Arbeitstherapie', ' Psychiatrie/Sucht/Forensik']",39,"[' samstags', ' sonntags']",JA,Ausgleich über Freizeit,ja,ja,ja,ja,nein,Festgehalt,TVöD,"über 3500,-€",ja,nein,,"keine Vorgaben, individuell frei gestaltbar",trifft für mich nicht zu (z.B. als Lehrende/r),[' Trifft für mich nicht zu'],,fachfremd,nein,Betriebsrat,nein,nein,ja,"[' Arbeitsverdichtung', ' Ausweitung der Arbeitszeit', ' weniger Unterstützung für Fortbildung (finanziell, dienstfrei)', ' Sonstige']",ja,"[' mehr Personal', ' Sonstige:']","[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage', ' Broschüre Arbeitsrecht', ' Broschüre Stellenbeschreibung', ' Individuelle Beratung per Mail/Telefon durch die Geschäftsstelle', ' Individuelle Beratung per Mail/Telefon durch den Fachausschuss für Angestellte', ' telefonische Sprechstunde zur Arbeitsrechtsberatung durch Rechtsanwälte (dienstags 16:30-18:30 Uhr)', ' Newsletter des Fachausschuss für Angestellte']","[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' Broschüre Arbeitsrecht', ' telefonische Sprechstunde zur Arbeitsrechtsberatung durch Rechtsanwälte (dienstags 18:00-20:00 Uhr)']",1.0,1.0,,,6,5,6,6,10,,
769,ja,50 - 59 Jahre,über 20 Jahre,weiblich,Nordrhein-Westfalen,Berufsfachschule,Teilzeit,dies ist aus familiären/persönlichen Gründen,nein,nein,Zweigstellenleitung (Praxis),1 - 5 Mitarbeiter,in zur Verfügung gestellte,Wohn-/ Pflegeeinrichtung,"[' Geriatrie', ' Neurologie', ' Orthopädie/Traumatologie/Rheumatologie']",20,[' trifft nicht zu'],,Ausgleich über Freizeit,ja,nein,,,nein,Festgehalt,"nein, frei verhandelt","1500,-  –  1749,- €",nein,ja,,der Heilmittel-Richtlinie,5 %,[' Aufräum-/Reinigungsarbeiten'],1.0,"trifft für mich nicht zu, keine Nebentätigkeit",,nein,"ja, ver.di",nein,nein,[' keine Veränderungen'],nein,[' trifft für mich nicht zu / keine Veränderungen'],"[' Broschüre Stellenbeschreibung', ' Individuelle Beratung per Mail/Telefon durch den Fachausschuss für Angestellte', ' telefonische Sprechstunde zur Arbeitsrechtsberatung durch Rechtsanwälte (dienstags 16:30-18:30 Uhr)']","[' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage', ' Individuelle Beratung per Mail/Telefon durch den Fachausschuss für Angestellte']",,,,,9,8,9,8,7,,
770,ja,30 - 39 Jahre,3 - 6 Jahre,weiblich,Nordrhein-Westfalen,Master,Teilzeit,dies ist aus familiären/persönlichen Gründen,nein,nein,trifft für mich nicht zu,,,Praxis/Therapiezentrum,"[' Geriatrie', ' Pädiatrie', ' Psychiatrie/Sucht/Forensik']",22,[' trifft nicht zu'],,wahlweise Freizeit/Bezahlung,ja,ja,ja,ja,nein,Festgehalt,"nein, frei verhandelt","1500,-  –  1749,- €",ja,nein,,der Heilmittel-Richtlinie,15 %,"[' Vor- und Nachbereit', ' Telefonate/Gespräche mit Angehörigen/anderen Fachpersonen etc.', ' Aufräum-/Reinigungsarbeiten']",1.0,"trifft für mich nicht zu, keine Nebentätigkeit",,nein,nein,nein,ja,[' Sonstige'],nein,"[' die Bedingungen in meinem Arbeitsvertrag haben sich verbessert (Arbeitszeitverkürzung, mehr Urlaubstage, …)', ' Sonstige:']","[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage', ' Individuelle Beratung per Mail/Telefon durch die Geschäftsstelle', ' Individuelle Beratung per Mail/Telefon durch den Fachausschuss für Angestellte', ' telefonische Sprechstunde zur Arbeitsrechtsberatung durch Rechtsanwälte (dienstags 16:30-18:30 Uhr)', ' Newsletter des Fachausschuss für Angestellte']","[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage', ' Newsletter des Fachausschuss für Angestellte']",2.0,2.0,,,7,5,8,6,5,,
771,ja,60 plus Jahre,über 20 Jahre,weiblich,Nordrhein-Westfalen,Bachelor / Diplom,Teilzeit,dies ist aus familiären/persönlichen Gründen,nein,nein,trifft für mich nicht zu,,,Praxis/Therapiezentrum,"[' Geriatrie', ' Neurologie']",20,[' trifft nicht zu'],,Ausgleich über Freizeit,ja,ja,ja,nein,nein,Festgehalt,"nein, frei verhandelt","1500,-  –  1749,- €",ja,nein,,der Heilmittel-Richtlinie,5 %,[' Dokumentation/Berichte schreiben'],1.0,als Ergotherapeut,ja,nein,nein,nein,nein,[' keine Veränderungen'],nein,[' trifft für mich nicht zu / keine Veränderungen'],"[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage', ' Individuelle Beratung per Mail/Telefon durch die Geschäftsstelle', ' telefonische Sprechstunde zur Arbeitsrechtsberatung durch Rechtsanwälte (dienstags 16:30-18:30 Uhr)']",[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage'],14.0,10.0,,,9,9,10,8,10,,
772,ja,60 plus Jahre,über 20 Jahre,männlich,Bayern,Berufsfachschule,Teilzeit,aus gesundheitlichen Gründen,nein,nein,Abteilungs-/ Teamleitung (Institution),über 10 Mitarbeiter,in zur Verfügung gestellte,Praxis/Therapiezentrum,[' Neurologie'],24,[' trifft nicht zu'],,Ausgleich über Bezahlung,nein,ja,ja,ja,ja,Festgehalt,TVöD,"über 3500,-€",ja,nein,,der Heilmittel-Richtlinie,trifft für mich nicht zu (z.B. als Lehrende/r),[' Trifft für mich nicht zu'],,"trifft für mich nicht zu, keine Nebentätigkeit",,Betriebsrat,nein,nein,ja,[' Sonstige'],ja,[' Sonstige:'],"[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage', ' Individuelle Beratung per Mail/Telefon durch den Fachausschuss für Angestellte']",[' Individuelle Beratung per Mail/Telefon durch die Geschäftsstelle'],7.0,7.0,,,7,5,7,9,5,,24.0
773,ja,40 - 49 Jahre,über 20 Jahre,weiblich,Nordrhein-Westfalen,Bachelor / Diplom,Teilzeit,dies ist aus familiären/persönlichen Gründen,nein,nein,trifft für mich nicht zu,,,Sozialpädiatr. Zentrum,[' Pädiatrie'],28,[' trifft nicht zu'],,Ausgleich über Freizeit,ja,nein,,,nein,Festgehalt,TVöD,"3000,-  –  3249,- €",ja,nein,,"keine Vorgaben, individuell frei gestaltbar",20 %,[' Trifft für mich nicht zu'],,"trifft für mich nicht zu, keine Nebentätigkeit",,Betriebsrat,"ja, ver.di",nein,ja,"[' weniger Unterstützung für Fortbildung (finanziell, dienstfrei)', ' anderes Patientenklientel']",nein,[' trifft für mich nicht zu / keine Veränderungen'],"[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage', ' Broschüre Stellenbeschreibung', ' Individuelle Beratung per Mail/Telefon durch die Geschäftsstelle']",[' Broschüre Stellenbeschreibung'],,,,,8,5,5,7,10,,
